軸数,条件,値,レース数,的中数,的中率,投資額,払戻額,回収率,収支
3,勝率差帯 × オッズ帯 × 距離帯,差<3% / 10〜30倍 / 中距離,40,5,12.5,4000,7180,179.5,3180
3,人気帯 × 頭数帯 × 芝ダ,4〜6番人気 / 〜10頭 / 芝,42,9,21.4,4200,7440,177.1,3240
3,人気帯 × オッズ帯 × パターン,7番人気〜 / 10〜30倍 / 波乱型,38,4,10.5,3800,6720,176.8,2920
2,オッズ帯 × 距離帯,10〜30倍 / 中距離,55,7,12.7,5500,9530,173.3,4030
3,人気帯 × 頭数帯 × パターン,7番人気〜 / 15頭〜 / 波乱型,32,3,9.4,3200,5420,169.4,2220
3,オッズ帯 × 距離帯 × パターン,10〜30倍 / 中距離 / 波乱型,49,6,12.2,4900,8250,168.4,3350
3,人気帯 × 勝率差帯 × 芝ダ,4〜6番人気 / 差3〜5% / 芝,40,7,17.5,4000,6500,162.5,2500
3,人気帯 × 勝率差帯 × 芝ダ,4〜6番人気 / 差5〜10% / 芝,32,6,18.8,3200,5110,159.7,1910
3,人気帯 × オッズ帯 × 距離帯,1番人気 / 3〜10倍 / 長距離,32,15,46.9,3200,5110,159.7,1910
3,人気帯 × 勝率差帯 × オッズ帯,7番人気〜 / 差<3% / 10〜30倍,31,3,9.7,3100,4840,156.1,1740
2,人気帯 × 勝率差帯,4〜6番人気 / 差3〜5%,71,13,18.3,7100,10800,152.1,3700
3,人気帯 × 勝率差帯 × 距離帯,4〜6番人気 / 差3〜5% / 中距離,30,6,20.0,3000,4470,149.0,1470
2,人気帯 × オッズ帯,7番人気〜 / 10〜30倍,47,4,8.5,4700,6720,143.0,2020
3,人気帯 × 頭数帯 × 距離帯,1番人気 / 15頭〜 / 長距離,33,17,51.5,3300,4640,140.6,1340
3,頭数帯 × オッズ帯 × 距離帯,15頭〜 / 10〜30倍 / 中距離,33,3,9.1,3300,4600,139.4,1300
2,人気帯 × 頭数帯,7番人気〜 / 15頭〜,39,3,7.7,3900,5420,139.0,1520
3,人気帯 × 勝率差帯 × 芝ダ,4〜6番人気 / 差3〜5% / ダート,31,6,19.4,3100,4300,138.7,1200
3,人気帯 × 勝率差帯 × オッズ帯,4〜6番人気 / 差3〜5% / 3〜10倍,57,10,17.5,5700,7450,130.7,1750
3,頭数帯 × 距離帯 × パターン,15頭〜 / 長距離 / 混戦型,31,11,35.5,3100,4040,130.3,940
3,頭数帯 × オッズ帯 × パターン,〜10頭 / 3〜10倍 / 波乱型,30,8,26.7,3000,3910,130.3,910
3,勝率差帯 × オッズ帯 × 距離帯,差5〜10% / 3〜10倍 / 長距離,31,8,25.8,3100,4000,129.0,900
3,頭数帯 × オッズ帯 × パターン,11〜14頭 / 10〜30倍 / 波乱型,38,4,10.5,3800,4860,127.9,1060
3,人気帯 × オッズ帯 × パターン,4〜6番人気 / 3〜10倍 / 波乱型,45,7,15.6,4500,5730,127.3,1230
3,勝率差帯 × 頭数帯 × オッズ帯,差5〜10% / 11〜14頭 / 3〜10倍,149,43,28.9,14900,18780,126.0,3880
3,人気帯 × 芝ダ × 距離帯,4〜6番人気 / 芝 / 中距離,63,10,15.9,6300,7890,125.2,1590
3,勝率差帯 × 頭数帯 × 距離帯,差5〜10% / 11〜14頭 / マイル,47,17,36.2,4700,5790,123.2,1090
3,人気帯 × 距離帯 × パターン,2〜3番人気 / 中距離 / 波乱型,111,29,26.1,11100,13660,123.1,2560
3,頭数帯 × 芝ダ × パターン,〜10頭 / 芝 / 波乱型,59,20,33.9,5900,7140,121.0,1240
2,人気帯 × 頭数帯,4〜6番人気 / 〜10頭,62,9,14.5,6200,7440,120.0,1240
3,勝率差帯 × 頭数帯 × 距離帯,差3〜5% / 11〜14頭 / 長距離,35,12,34.3,3500,4180,119.4,680
3,人気帯 × 勝率差帯 × 頭数帯,4〜6番人気 / 差3〜5% / 15頭〜,39,6,15.4,3900,4640,119.0,740
3,人気帯 × 勝率差帯 × 頭数帯,2〜3番人気 / 差5〜10% / 〜10頭,67,21,31.3,6700,7950,118.7,1250
3,人気帯 × 頭数帯 × オッズ帯,4〜6番人気 / 〜10頭 / 3〜10倍,43,7,16.3,4300,5090,118.4,790
3,頭数帯 × オッズ帯 × 距離帯,15頭〜 / 3〜10倍 / 長距離,33,10,30.3,3300,3860,117.0,560
3,勝率差帯 × 芝ダ × パターン,差3〜5% / ダート / 波乱型,127,37,29.1,12700,14840,116.9,2140
3,頭数帯 × 芝ダ × オッズ帯,〜10頭 / 芝 / 3〜10倍,159,41,25.8,15900,18420,115.8,2520
3,勝率差帯 × 頭数帯 × 芝ダ,差3〜5% / 〜10頭 / 芝,73,28,38.4,7300,8430,115.5,1130
3,勝率差帯 × 距離帯 × パターン,差3〜5% / 短距離 / 波乱型,94,26,27.7,9400,10820,115.1,1420
3,人気帯 × 頭数帯 × パターン,4〜6番人気 / 〜10頭 / 混戦型,35,5,14.3,3500,4030,115.1,530
3,勝率差帯 × 芝ダ × 距離帯,差3〜5% / 芝 / 長距離,49,18,36.7,4900,5610,114.5,710
3,人気帯 × 芝ダ × パターン,4〜6番人気 / 芝 / 混戦型,119,17,14.3,11900,13500,113.4,1600
3,勝率差帯 × オッズ帯 × 距離帯,差3〜5% / 〜3倍 / 短距離,75,39,52.0,7500,8470,112.9,970
2,人気帯 × 勝率差帯,4〜6番人気 / 差5〜10%,71,9,12.7,7100,7970,112.3,870
3,人気帯 × 勝率差帯 × パターン,4〜6番人気 / 差5〜10% / 混戦型,71,9,12.7,7100,7970,112.3,870
3,芝ダ × 距離帯 × パターン,芝 / 中距離 / 波乱型,144,38,26.4,14400,16140,112.1,1740
3,人気帯 × 頭数帯 × 距離帯,2〜3番人気 / 〜10頭 / 短距離,43,14,32.6,4300,4820,112.1,520
3,人気帯 × 距離帯 × パターン,1番人気 / 長距離 / 混戦型,75,32,42.7,7500,8390,111.9,890
3,オッズ帯 × 距離帯 × パターン,3〜10倍 / 長距離 / 混戦型,94,23,24.5,9400,10500,111.7,1100
3,人気帯 × 芝ダ × オッズ帯,4〜6番人気 / 芝 / 3〜10倍,146,21,14.4,14600,16270,111.4,1670
3,頭数帯 × 距離帯 × パターン,11〜14頭 / 中距離 / 波乱型,110,30,27.3,11000,12250,111.4,1250
3,勝率差帯 × 距離帯 × パターン,差<3% / 長距離 / 混戦型,54,15,27.8,5400,6000,111.1,600
3,人気帯 × 頭数帯 × 距離帯,4〜6番人気 / 11〜14頭 / 中距離,50,7,14.0,5000,5550,111.0,550
3,勝率差帯 × 頭数帯 × 芝ダ,差5〜10% / 〜10頭 / 芝,119,43,36.1,11900,13170,110.7,1270
3,頭数帯 × オッズ帯 × 距離帯,〜10頭 / 3〜10倍 / 長距離,34,8,23.5,3400,3760,110.6,360
3,勝率差帯 × オッズ帯 × 距離帯,差5〜10% / 3〜10倍 / マイル,63,16,25.4,6300,6960,110.5,660
3,勝率差帯 × 頭数帯 × オッズ帯,差5〜10% / 〜10頭 / 3〜10倍,66,17,25.8,6600,7260,110.0,660
2,勝率差帯 × 距離帯,差3〜5% / 長距離,54,19,35.2,5400,5930,109.8,530
3,人気帯 × 勝率差帯 × 頭数帯,2〜3番人気 / 差5〜10% / 11〜14頭,99,26,26.3,9900,10810,109.2,910
2,勝率差帯 × 頭数帯,差3〜5% / 〜10頭,95,34,35.8,9500,10360,109.1,860
3,頭数帯 × 芝ダ × オッズ帯,15頭〜 / ダート / 10〜30倍,42,3,7.1,4200,4580,109.0,380
3,人気帯 × 勝率差帯 × 頭数帯,2〜3番人気 / 差3〜5% / 15頭〜,135,32,23.7,13500,14700,108.9,1200
3,人気帯 × 勝率差帯 × 距離帯,2〜3番人気 / 差3〜5% / 中距離,122,30,24.6,12200,13260,108.7,1060
3,勝率差帯 × 頭数帯 × パターン,差3〜5% / 11〜14頭 / 波乱型,80,23,28.7,8000,8690,108.6,690
3,人気帯 × 芝ダ × 距離帯,2〜3番人気 / ダート / マイル,42,11,26.2,4200,4560,108.6,360
3,人気帯 × 頭数帯 × オッズ帯,4〜6番人気 / 11〜14頭 / 10〜30倍,33,3,9.1,3300,3560,107.9,260
3,勝率差帯 × 芝ダ × 距離帯,差<3% / 芝 / 中距離,255,71,27.8,25500,27390,107.4,1890
3,頭数帯 × 芝ダ × 距離帯,〜10頭 / 芝 / 短距離,72,27,37.5,7200,7710,107.1,510
3,勝率差帯 × 頭数帯 × 距離帯,差5〜10% / 11〜14頭 / 長距離,35,11,31.4,3500,3750,107.1,250
3,人気帯 × 頭数帯 × パターン,4〜6番人気 / 11〜14頭 / 波乱型,40,4,10.0,4000,4280,107.0,280
3,勝率差帯 × オッズ帯 × 距離帯,差<3% / 3〜10倍 / 長距離,67,17,25.4,6700,7160,106.9,460
3,人気帯 × オッズ帯 × 距離帯,4〜6番人気 / 10〜30倍 / 中距離,34,3,8.8,3400,3630,106.8,230
3,人気帯 × オッズ帯 × 距離帯,2〜3番人気 / 3〜10倍 / マイル,152,38,25.0,15200,16230,106.8,1030
2,オッズ帯 × 距離帯,3〜10倍 / 長距離,145,36,24.8,14500,15440,106.5,940
3,頭数帯 × 距離帯 × パターン,11〜14頭 / 長距離 / 波乱型,40,12,30.0,4000,4260,106.5,260
3,勝率差帯 × 頭数帯 × 距離帯,差3〜5% / 15頭〜 / 中距離,158,45,28.5,15800,16760,106.1,960
3,勝率差帯 × 芝ダ × 距離帯,差5〜10% / 芝 / 長距離,59,20,33.9,5900,6260,106.1,360
2,芝ダ × オッズ帯,芝 / 10〜30倍,75,6,8.0,7500,7950,106.0,450
3,勝率差帯 × 頭数帯 × 芝ダ,差3〜5% / 15頭〜 / ダート,200,59,29.5,20000,21170,105.8,1170
2,頭数帯 × 距離帯,15頭〜 / 長距離,58,20,34.5,5800,6120,105.5,320
3,勝率差帯 × 距離帯 × パターン,差<3% / 中距離 / 波乱型,208,50,24.0,20800,21950,105.5,1150
3,勝率差帯 × 頭数帯 × オッズ帯,差3〜5% / 〜10頭 / 3〜10倍,38,8,21.1,3800,4000,105.3,200
3,人気帯 × 頭数帯 × 距離帯,2〜3番人気 / 15頭〜 / マイル,84,21,25.0,8400,8840,105.2,440
3,芝ダ × オッズ帯 × 距離帯,芝 / 3〜10倍 / 長距離,130,31,23.8,13000,13650,105.0,650
2,距離帯 × パターン,中距離 / 波乱型,308,76,24.7,30800,32210,104.6,1410
3,勝率差帯 × 芝ダ × 距離帯,差3〜5% / ダート / 短距離,143,44,30.8,14300,14900,104.2,600
2,勝率差帯 × パターン,差3〜5% / 波乱型,258,71,27.5,25800,26780,103.8,980
3,人気帯 × 勝率差帯 × 距離帯,1番人気 / 差5〜10% / 長距離,42,18,42.9,4200,4350,103.6,150
3,勝率差帯 × オッズ帯 × パターン,差3〜5% / 〜3倍 / 混戦型,142,64,45.1,14200,14710,103.6,510
3,人気帯 × 頭数帯 × 距離帯,2〜3番人気 / 15頭〜 / 中距離,266,61,22.9,26600,27550,103.6,950
2,人気帯 × パターン,7番人気〜 / 波乱型,65,4,6.2,6500,6720,103.4,220
3,人気帯 × 勝率差帯 × オッズ帯,4〜6番人気 / 差5〜10% / 3〜10倍,54,7,13.0,5400,5550,102.8,150
2,人気帯 × 距離帯,2〜3番人気 / マイル,171,43,25.1,17100,17570,102.7,470
3,勝率差帯 × 距離帯 × パターン,差3〜5% / 中距離 / 波乱型,100,26,26.0,10000,10260,102.6,260
3,芝ダ × オッズ帯 × パターン,ダート / 10〜30倍 / 波乱型,56,4,7.1,5600,5740,102.5,140
2,人気帯 × 芝ダ,7番人気〜 / 芝,32,2,6.2,3200,3280,102.5,80
3,勝率差帯 × 頭数帯 × パターン,差3〜5% / 〜10頭 / 混戦型,67,25,37.3,6700,6820,101.8,120
3,勝率差帯 × 頭数帯 × オッズ帯,差3〜5% / 〜10頭 / 〜3倍,52,25,48.1,5200,5290,101.7,90
3,勝率差帯 × 頭数帯 × パターン,差3〜5% / 15頭〜 / 混戦型,229,64,27.9,22900,23250,101.5,350
3,勝率差帯 × 頭数帯 × 距離帯,差<3% / 11〜14頭 / 中距離,213,61,28.6,21300,21520,101.0,220
3,勝率差帯 × 芝ダ × オッズ帯,差3〜5% / ダート / 〜3倍,111,50,45.0,11100,11210,101.0,110
3,頭数帯 × 距離帯 × パターン,15頭〜 / 中距離 / 波乱型,155,34,21.9,15500,15640,100.9,140
3,人気帯 × 距離帯 × パターン,4〜6番人気 / マイル / 混戦型,32,4,12.5,3200,3230,100.9,30
3,人気帯 × 芝ダ × 距離帯,2〜3番人気 / 芝 / マイル,129,32,24.8,12900,13010,100.9,110
3,勝率差帯 × 頭数帯 × 距離帯,差5〜10% / 〜10頭 / 短距離,33,11,33.3,3300,3330,100.9,30
2,距離帯 × パターン,長距離 / 混戦型,155,46,29.7,15500,15620,100.8,120
3,人気帯 × オッズ帯 × 距離帯,2〜3番人気 / 〜3倍 / 短距離,39,15,38.5,3900,3930,100.8,30
3,勝率差帯 × 頭数帯 × オッズ帯,差10%〜 / 〜10頭 / 3〜10倍,36,9,25.0,3600,3630,100.8,30
3,頭数帯 × オッズ帯 × パターン,〜10頭 / 3〜10倍 / 本命型,36,9,25.0,3600,3630,100.8,30
3,人気帯 × 距離帯 × パターン,2〜3番人気 / マイル / 混戦型,107,26,24.3,10700,10780,100.7,80
3,人気帯 × 勝率差帯 × 距離帯,2〜3番人気 / 差5〜10% / マイル,47,12,25.5,4700,4730,100.6,30
3,頭数帯 × 距離帯 × パターン,〜10頭 / 中距離 / 波乱型,43,12,27.9,4300,4320,100.5,20
2,勝率差帯 × 距離帯,差3〜5% / 短距離,233,66,28.3,23300,23410,100.5,110
2,人気帯 × 芝ダ,4〜6番人気 / 芝,198,24,12.1,19800,19880,100.4,80
