軸数,条件,値,レース数,的中数,的中率,投資額,払戻額,回収率,収支
3,人気帯 × 頭数帯 × 距離帯,2〜3番人気 / 15頭〜 / 短距離,307,47,15.3,30700,19710,64.2,-10990
3,人気帯 × 勝率差帯 × 距離帯,1番人気 / 差3〜5% / マイル,47,13,27.7,4700,3010,64.0,-1690
3,勝率差帯 × 芝ダ × 距離帯,差10%〜 / 芝 / 短距離,130,38,29.2,13000,8320,64.0,-4680
3,芝ダ × 距離帯 × パターン,芝 / 短距離 / 本命型,130,38,29.2,13000,8320,64.0,-4680
3,勝率差帯 × 頭数帯 × オッズ帯,差5〜10% / 15頭〜 / 3〜10倍,273,44,16.1,27300,17450,63.9,-9850
3,頭数帯 × オッズ帯 × 距離帯,〜10頭 / 〜3倍 / マイル,61,21,34.4,6100,3900,63.9,-2200
2,頭数帯 × 芝ダ,〜10頭 / ダート,192,57,29.7,19200,12240,63.7,-6960
3,人気帯 × 頭数帯 × パターン,4〜6番人気 / 15頭〜 / 混戦型,126,10,7.9,12600,8010,63.6,-4590
3,勝率差帯 × 頭数帯 × オッズ帯,差3〜5% / 11〜14頭 / 3〜10倍,133,18,13.5,13300,8390,63.1,-4910
3,人気帯 × 芝ダ × オッズ帯,4〜6番人気 / ダート / 10〜30倍,55,3,5.5,5500,3440,62.5,-2060
3,勝率差帯 × 芝ダ × 距離帯,差<3% / ダート / 短距離,325,62,19.1,32500,20270,62.4,-12230
3,人気帯 × 勝率差帯 × オッズ帯,1番人気 / 差3〜5% / 3〜10倍,120,21,17.5,12000,7480,62.3,-4520
3,勝率差帯 × 芝ダ × 距離帯,差5〜10% / 芝 / 短距離,129,26,20.2,12900,8030,62.2,-4870
3,人気帯 × 勝率差帯 × 頭数帯,1番人気 / 差10%〜 / 〜10頭,209,83,39.7,20900,12980,62.1,-7920
3,人気帯 × 頭数帯 × パターン,1番人気 / 〜10頭 / 本命型,209,83,39.7,20900,12980,62.1,-7920
3,勝率差帯 × 頭数帯 × 芝ダ,差5〜10% / 〜10頭 / ダート,46,10,21.7,4600,2850,62.0,-1750
3,頭数帯 × 芝ダ × 距離帯,15頭〜 / ダート / マイル,102,28,27.5,10200,6320,62.0,-3880
3,オッズ帯 × 距離帯 × パターン,10〜30倍 / 短距離 / 波乱型,47,2,4.3,4700,2900,61.7,-1800
3,勝率差帯 × 頭数帯 × 距離帯,差5〜10% / 11〜14頭 / 短距離,95,19,20.0,9500,5850,61.6,-3650
3,勝率差帯 × 距離帯 × パターン,差<3% / 長距離 / 波乱型,40,7,17.5,4000,2440,61.0,-1560
2,人気帯 × 距離帯,4〜6番人気 / 短距離,166,12,7.2,16600,10040,60.5,-6560
